idstr,result,success
aypletjbuvdtamxmycmcafecqvdqtx,61,True
ayrabquzzssfkwpnnuarjaqtpuwvgm,90,True
ayvhyuzdyonvpvjdcojwftfxvvroko,32,True
ayzswktqiryvxkxaepvbwosucbyvwv,39,True
ayzxzeizayempyinwqevmhezgiyrxo,259,True
azblopeesqdilnaoyjmjfsqksvabyp,52,True
azcgmgrssdbyunwvxmiiwqyfulgzuh,34,True
azcvdpoztfqxlysytrytfzvqjbswlr,65,True
azdubmmliuwodysimujgrgprldpbvk,39,True
azfhwwaiqqnliojezkdoecfejoznaw,59,True
azkfknukbbujqyvuioeotnpvourvmo,48,True
azlorfjzdxtexbjuvwlhvsfnliafku,90,True
azmikuoamrdwddjajuecetkdxphqhz,827,True
azmokznroxpgwokhnnleqkhjqirbgm,42,True
azmruwqpbbysqoykhxonludirgnzmo,54,True
aznorrtmhckghqgcblkwpdxxytvcom,35,True
aznpdkqiuxeinhqlvgghwzrboscmit,61,True
azoacvesluvyhtektelqasyiorybbt,32,True
azrvjdpbctyazxixnplfdloaggbxoj,74,True
azttwsjwynydrgtxyoirvmwyywibwx,45,True
azvjashipnhqwwssxokgehghooewxs,40,True
azxvigsfkhetldrxbtrueigpzkmfay,44,True
azytevgmzclyjsxbyfeogbtfjqjfeh,58,True
babyxwuozxckkunxskcdoiclhzusgc,36,True
baejwvjtivimebvwejpktbdluradas,260,True
bagchplhbevhavssiubqzyfckiwjix,89,True
bagxfbzidndpuxsukwrvcfojqksjwj,50,True
bahunsgjobrxwrjlyjzvildmhxhdua,62,True
bailhjqouriqyhxvdlzkiedrhptscn,49,True
bajsvkdehpfftqghvqgofzdexepxfs,246,True
bakadukqkhvbvbdbvsywtsujhzsqpx,63,True
baskcmrvqmjupmvbolmmafvoxkkayj,57,True
batesilobozscpuymgxuhpzkcpyruy,23,True
bauahwwxfcomncgaoeoosuigwkqrew,25,True
bazdzizzgswniobvodueldhcxkjunw,104,True
bbadujreaorvoqfakxenemvrgigkhm,45,True
bbetyamramhgnlxdrfmjdrqtpvxusk,37,True
bbftegkpzvmrxxdlfgwtetqcblejcw,36,True
bbjdsxydnaqkoxxrailtdsulafxeaa,109,True
bbmbwndidtsrefeidxuxsatraccyvu,40,True
bbmhvqrceagdvobrzmhmczopgxtsdj,114,True
bbmjomuhkckweheztccbwzqdalllfg,30,True
bboisqromlvkmhtgepvtzgqzvwvplb,36,True
bbotzuamqafwubqcxxgkyeqkhcuikb,51,True
bbqadrtbcnifptwjcweqlnsmlkpkqd,28,True
bbrjmptdonocetgrfigpjubempvszt,36,True
bbunipkpvrtnefixaumpwvgzvshlkv,45,True
bbyfranplmbmpkogajqjvmjduoomjt,105,True
bbyqbwrgksgbuxfwtfwhfqkianstlb,36,True
bbytmksebzwrognqezteehypmjwtyg,23,True
bcbuqfkyyjubhoxevywruzuceavzcr,31,True
bccfyqxasfdsqefzwhgopicgriqnvk,216,True
bcfmgseyjuwobffauwfwwhfmzdmuoc,53,True
bcggordomblngcensgnrsswzycbskv,445,True
bcgrmcqaofwnurmgpljchjfhgwoqni,44,True
bchbifojmpovzbeghricfcmspznipc,140,True
bckokkyanfbcbsmvskxuaqrqscurkz,233,True
bcmkrrjahwzoyvdambvmxnidmyidfs,67,True
bcmncqcvtinhwvhumefzleegqmebmm,85,True
bcoecizqjtjqtqcrxdouhygxtiacwn,46,True
bcoijxexojgtiwxdfibjraappoydwr,173,True
bcoyudyfygdeqqvfzibaovgmnakkso,98,True
